well_id;sample_id;sample_type;sample_matrix;project
A1;A1;NOT_USED;;
A2;A2;NOT_USED;;
A3;A3;NOT_USED;;
A4;A4;NOT_USED;;
A5;A5;NOT_USED;;
A6;A6;NOT_USED;;
A7;A7;NOT_USED;;
A8;A8;NOT_USED;;
A9;A9;NOT_USED;;
A10;A10;NOT_USED;;
A11;A11;NOT_USED;;
A12;SampleControl1;SAMPLE_CONTROL;;
B1;B1;NOT_USED;;
B2;B2;NOT_USED;;
B3;MAT-WT05;SAMPLE;;
B4;B4;NOT_USED;;
B5;MAT-WT04;SAMPLE;;
B6;B6;NOT_USED;;
B7;B7;NOT_USED;;
B8;B8;NOT_USED;;
B9;B9;NOT_USED;;
B10;B10;NOT_USED;;
B11;B11;NOT_USED;;
B12;SampleControl2;SAMPLE_CONTROL;;
C1;C1;NOT_USED;;
C2;C2;NOT_USED;;
C3;C3;NOT_USED;;
C4;MAT-WT03;SAMPLE;;
C5;C5;NOT_USED;;
C6;C6;NOT_USED;;
C7;MAT-WT01;SAMPLE;;
C8;C8;NOT_USED;;
C9;C9;NOT_USED;;
C10;C10;NOT_USED;;
C11;C11;NOT_USED;;
C12;SampleControl3;SAMPLE_CONTROL;;
D1;D1;NOT_USED;;
D2;D2;NOT_USED;;
D3;D3;NOT_USED;;
D4;D4;NOT_USED;;
D5;D5;NOT_USED;;
D6;D6;NOT_USED;;
D7;D7;NOT_USED;;
D8;D8;NOT_USED;;
D9;D9;NOT_USED;;
D10;D10;NOT_USED;;
D11;D11;NOT_USED;;
D12;PlateControl1;PLATE_CONTROL;;
E1;E1;NOT_USED;;
E2;E2;NOT_USED;;
E3;E3;NOT_USED;;
E4;E4;NOT_USED;;
E5;E5;NOT_USED;;
E6;E6;NOT_USED;;
E7;E7;NOT_USED;;
E8;E8;NOT_USED;;
E9;E9;NOT_USED;;
E10;E10;NOT_USED;;
E11;E11;NOT_USED;;
E12;PlateControl2;PLATE_CONTROL;;
F1;F1;NOT_USED;;
F2;F2;NOT_USED;;
F3;F3;NOT_USED;;
F4;F4;NOT_USED;;
F5;F5;NOT_USED;;
F6;F6;NOT_USED;;
F7;F7;NOT_USED;;
F8;F8;NOT_USED;;
F9;F9;NOT_USED;;
F10;F10;NOT_USED;;
F11;F11;NOT_USED;;
F12;PlateControl3;PLATE_CONTROL;;
G1;G1;NOT_USED;;
G2;G2;NOT_USED;;
G3;G3;NOT_USED;;
G4;OA-WT02;SAMPLE;;
G5;G5;NOT_USED;;
G6;G6;NOT_USED;;
G7;G7;NOT_USED;;
G8;G8;NOT_USED;;
G9;G9;NOT_USED;;
G10;OA-WT01;SAMPLE;;
G11;NegativeControl1;NEGATIVE_CONTROL;;
G12;PlateControl4;PLATE_CONTROL;;
H1;H1;NOT_USED;;
H2;MAT-WT02;SAMPLE;;
H3;H3;NOT_USED;;
H4;H4;NOT_USED;;
H5;H5;NOT_USED;;
H6;H6;NOT_USED;;
H7;H7;NOT_USED;;
H8;H8;NOT_USED;;
H9;H9;NOT_USED;;
H10;H10;NOT_USED;;
H11;NegativeControl2;NEGATIVE_CONTROL;;
H12;PlateControl5;PLATE_CONTROL;;
